taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
22	Shewanella	G	1	3	300.0	77.1	77.1	86.8	67.6	9.69e-13
198	Campylobacter hyointestinalis	S	1	2	200.0	99.7	100.0	100.0	276.5	1.14e-76
1660074	Campylobacter sp. RM8964	S	1	2	200.0	99.7	100.0	100.0	276.5	1.14e-76
306263	Campylobacter lari RM2100	S1	1	2	200.0	99.0	100.0	100.0	271.0	1.14e-76
1385720	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	S3	1	2	200.0	98.4	98.4	100.0	220.0	5.64e-59
1183379	Campylobacter coli RM4661	S1	1	2	200.0	97.4	100.0	99.3	255.5	1.48e-75
2572085	Campylobacter sp. CFSAN093260	S	1	2	200.0	96.2	97.2	100.0	234.5	1.41e-65
1453988	Campylobacter lari RM16712	S1	1	2	200.0	96.0	100.0	98.6	235.0	1.14e-76
469	Acinetobacter	G	567	1	0.2	79.0	79.0	69.5	69.4	2.69e-13
3067904	Pararhizobium sp. IMCC3301	S	30	0	0.0	0.0	0.0	0.0	0.0	N/A
2053	Gordonia	G	5	0	0.0	0.0	0.0	0.0	0.0	N/A
2054	Gordonia bronchialis	S	10	0	0.0	0.0	0.0	0.0	0.0	N/A
2062	Streptomycetaceae	F	2	0	0.0	0.0	0.0	0.0	0.0	N/A
501783	Cloacibacterium	G	37	0	0.0	0.0	0.0	0.0	0.0	N/A
2979870	Aminobacter sp. NyZ550	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
2654238	Pseudomonas sp. DTU12.1	S	15	0	0.0	0.0	0.0	0.0	0.0	N/A
1855519	Sphingobium sp. EP60837	S	18	0	0.0	0.0	0.0	0.0	0.0	N/A
3020832	Alloalcanivorax	G	3	0	0.0	0.0	0.0	0.0	0.0	N/A
35	Corallococcus macrosporus	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2867236	Qipengyuania xiapuensis	S	13	0	0.0	0.0	0.0	0.0	0.0	N/A
2975784	Streptomyces sp. NBC_00588	S	2	0	0.0	0.0	0.0	0.0	0.0	N/A
2560053	Paracoccus liaowanqingii	S	17	0	0.0	0.0	0.0	0.0	0.0	N/A
2560058	Brevundimonas sp. Bb-A	S	11	0	0.0	0.0	0.0	0.0	0.0	N/A
180282	Delftia tsuruhatensis	S	13	0	0.0	0.0	0.0	0.0	0.0	N/A
2797636	Streptomyces liliifuscus	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2895947	Flavobacterium cyclinae	S	9	0	0.0	0.0	0.0	0.0	0.0	N/A
1212491	Legionella fallonii LLAP-10	S1	7	0	0.0	0.0	0.0	0.0	0.0	N/A
75	Caulobacter	G	5	0	0.0	0.0	0.0	0.0	0.0	N/A
2054227	Sphingopyxis lindanitolerans	S	24	0	0.0	0.0	0.0	0.0	0.0	N/A
1263728	Paracoccus sp. TOH	S	5	0	0.0	0.0	0.0	0.0	0.0	N/A
217204	Achromobacter insolitus	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
925818	Methylobacterium sp. AMS5	S	6	0	0.0	0.0	0.0	0.0	0.0	N/A
1448059	Amycolatopsis rhabdoformis	S	12	0	0.0	0.0	0.0	0.0	0.0	N/A
575614	Prevotella sp. oral taxon 299 str. F0039	S1	1	0	0.0	0.0	0.0	0.0	0.0	N/A
90239	Moraxella canis	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2754694	Chryseobacterium manosquense	S	21	0	0.0	0.0	0.0	0.0	0.0	N/A
84112	Eggerthella lenta	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
57493	Kocuria	G	7	0	0.0	0.0	0.0	0.0	0.0	N/A
106649	Acinetobacter guillouiae	S	14	0	0.0	0.0	0.0	0.0	0.0	N/A
1702043	Kocuria sp. BT304	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
489632	Pseudomonas chengduensis	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
2795690	Kaistia sp. 32K	S	25	0	0.0	0.0	0.0	0.0	0.0	N/A
1499308	Paracoccus mutanolyticus	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
147645	Paracoccus yeei	S	37	0	0.0	0.0	0.0	0.0	0.0	N/A
202950	Acinetobacter baylyi	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
82115	Rhizobiaceae	F	11	0	0.0	0.0	0.0	0.0	0.0	N/A
45254	Dysgonomonas capnocytophagoides	S	7	0	0.0	0.0	0.0	0.0	0.0	N/A
2033869	Rhodobacter sp. CZR27	S	21	0	0.0	0.0	0.0	0.0	0.0	N/A
1605838	Pseudomonas coleopterorum	S	23	0	0.0	0.0	0.0	0.0	0.0	N/A
2017486	Nocardioides sp. S5	S	1	0	0.0	0.0	0.0	0.0	0.0	N/A
2775246	Flavobacterium sp. CS20	S	4	0	0.0	0.0	0.0	0.0	0.0	N/A
53457	Janibacter	G	133	0	0.0	0.0	0.0	0.0	0.0	N/A
